,Country(Entity),Year,Code,Rate: Schizophrenia,Rate: Depressive disorders,Rate: Anxiety disorders,Rate: Bipolar disorders,Rate: Eating disorders,DALYs: Schizophrenia,DALYs: Depressive disorders,DALYs: Anxiety disorders,DALYs: Bipolar disorder,DALYs: Eating disorders,Country,cluster
80,Hungary,2019,HUN,0.2914906,2.8233702,3.4067228,0.5375118,0.1835278,187.27826,458.06262,325.34982,116.37727,39.47594,Hungary,pink
81,Iceland,2019,ISL,0.27835035,2.9365938,5.1037683,0.9084446,0.4541073,177.96698,485.75662,489.7725,195.8051,96.61506,Iceland,dark purple
82,India,2019,IND,0.28522602,3.6598387,2.9674358,0.3541412,0.12927622,180.38898,616.13,278.50314,75.254654,27.497412,India,pink
83,Indonesia,2019,IDN,0.29368687,2.4184713,3.5480037,0.33060965,0.11084955,189.27168,350.2642,338.9018,71.24943,23.919266,Indonesia,pink
84,Iran,2019,IRN,0.2541629,4.860692,7.26808,0.81717443,0.2540833,162.02142,890.32446,695.7628,175.84076,53.944305,Iran,purple
85,Iraq,2019,IRQ,0.24618399,3.9326482,5.33799,0.6765268,0.20871635,156.52112,690.8722,510.10797,145.29636,44.165936,Iraq,dark purple
86,Ireland,2019,IRL,0.35267243,4.2169313,6.9078193,0.701279,0.45577714,224.24637,749.2043,661.21454,150.4242,96.49427,Ireland,dark purple
87,Israel,2019,ISR,0.29913944,4.127255,3.7392616,1.0514655,0.38732913,191.59685,734.18823,359.06854,227.08182,82.20014,Israel,dark purple
88,Italy,2019,ITA,0.29120925,3.561658,5.5624604,0.89349115,0.54448926,185.5313,620.3782,532.10895,191.76006,115.64655,Italy,dark purple
89,Jamaica,2019,JAM,0.27614054,3.0646706,4.0547247,0.9436392,0.19291341,177.48836,532.1288,388.20575,204.77824,41.092247,Jamaica,pink
90,Japan,2019,JPN,0.30083296,2.1032803,2.3241255,0.6442883,0.38879964,195.18527,373.8522,224.86041,140.43578,85.67782,Japan,pink
91,Jordan,2019,JOR,0.2550567,4.15211,4.933855,0.7818655,0.19342121,164.00864,743.532,475.06412,169.6371,41.203175,Jordan,dark purple
92,Kazakhstan,2019,KAZ,0.282443,3.4412057,2.1156304,0.50741726,0.16284963,181.17099,586.6018,202.17244,109.6311,34.96742,Kazakhstan,pink
93,Kenya,2019,KEN,0.21664362,4.723163,3.41804,0.60172975,0.106974006,138.47491,820.19635,326.0198,129.566,22.940166,Kenya,purple
94,Kiribati,2019,KIR,0.2558946,2.9703078,4.098131,0.2571488,0.06961527,162.91335,457.4796,388.98743,54.997856,14.950806,Kiribati,pink
95,Kuwait,2019,KWT,0.27380788,4.0603004,4.599968,0.81019646,0.34584403,175.59567,723.94696,442.73688,175.30579,74.04555,Kuwait,dark purple
96,Kyrgyzstan,2019,KGZ,0.2620818,3.3816984,2.0599196,0.51576376,0.09326466,169.50215,577.76697,197.99797,112.12632,20.144735,Kyrgyzstan,pink
97,Laos,2019,LAO,0.28031668,2.7468913,4.5706754,0.32474777,0.09885296,180.71788,417.5355,437.10196,70.24087,21.286186,Laos,pink
98,Latvia,2019,LVA,0.28601405,3.7478287,3.748034,0.5201065,0.1660531,183.71483,650.91736,358.8856,112.445526,35.727215,Latvia,dark purple
99,Lebanon,2019,LBN,0.25352445,4.652712,6.0510345,0.94117516,0.224312,161.43504,842.0057,579.4061,203.00905,47.663963,Lebanon,purple
100,Lesotho,2019,LSO,0.2047265,5.511564,3.5554914,0.5321807,0.10791386,127.19747,979.28174,334.34225,112.71994,22.839012,Lesotho,purple
101,Liberia,2019,LBR,0.20702705,4.556289,3.5066519,0.54334027,0.076098874,130.58527,786.62244,332.1068,115.60084,16.278492,Liberia,purple
102,Libya,2019,LBY,0.24989693,4.406427,5.324334,0.77044964,0.20108777,159.0644,791.4714,509.66724,165.78183,42.623726,Libya,purple
